PlantType,GSRN,MainEnergy,PriceArea,MunicipalityCode,MeasurepointChildType,MeasurepointType,ProductType,Qnt,TimestampUTC,_dp_datetime_utc
Decentralt værk,570715000000065163,Naturgas,DK1,813,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065279,Naturgas,DK1,860,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065286,Naturgas,DK1,860,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065293,Naturgas,DK1,860,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065309,Naturgas,DK1,813,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065323,Naturgas,DK1,810,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065330,Naturgas,DK1,849,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065354,LPG,DK1,810,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065361,Biogas gylle,DK1,849,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065378,Naturgas,DK1,810,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065385,Naturgas,DK1,810,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065392,Naturgas,DK1,849,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065408,Naturgas,DK1,810,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065439,Naturgas,DK1,849,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065453,Naturgas,DK1,810,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065491,Naturgas,DK1,787,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065507,Aff. Husholdn.,DK1,787,E18,E18,DEC,2681.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065514,Naturgas,DK1,787,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065552,Naturgas,DK1,787,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065576,Aff. Husholdn.,DK1,820,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065583,Naturgas,DK1,846,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065590,Naturgas,DK1,851,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065606,Naturgas,DK1,820,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065620,Naturgas,DK1,851,E18,E18,DEC,1.5,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065637,Naturgas,DK1,840,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065644,Naturgas,DK1,840,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065651,Naturgas,DK1,851,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065668,Naturgas,DK1,846,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065675,Naturgas,DK1,840,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065682,Biogas gylle,DK1,820,E18,E18,DEC,478.5,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065699,Naturgas,DK1,851,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065712,Naturgas,DK1,851,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065729,Naturgas,DK1,851,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065736,Naturgas,DK1,820,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065743,Naturgas,DK1,840,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065750,Naturgas,DK1,840,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065767,Naturgas,DK1,851,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065774,Naturgas,DK1,846,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065781,Naturgas,DK1,840,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065798,Naturgas,DK1,846,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
Decentralt værk,570715000000065804,Naturgas,DK1,840,E18,E18,DEC,0.0,2021-08-01T00:00:00.000Z,1627776000000
